statename,emp_change,ephi_change,emp_change_share
Alabama,472442,223136.1561271978,0.23790241496819017
Alaska,87817,40123.84512246826,0.2596346305653204
Arizona,549103,244600.88174641127,0.19143801552623202
Arkansas,203685,97067.611494166,0.17044793646853065
California,4637329,2107458.3674933477,0.2631043765842635
Colorado,411938,185051.30388692126,0.14965264099769882
Connecticut,607132,289197.6580002393,0.369076680134395
Delaware,90780,40042.941678037925,0.20378232689277223
District of Columbia,86840,36555.497804573366,0.11375326387857934
Florida,1989639,867110.122223775,0.2269368295499357
Georgia,1838980,855110.447076441,0.4103690229830723
Hawaii,221758,88807.07683757064,0.3463590529601763
Idaho,134803,60518.230579822346,0.17672005439570426
Illinois,1023022,472201.0772552621,0.17159696814973804
Indiana,710040,341896.4645200084,0.2313966991436632
Iowa,307517,146655.36957368965,0.1979218178022818
Kansas,241248,114727.39828531406,0.17502103292647508
Kentucky,742732,351873.54189168295,0.3952557166457378
Louisiana,637213,287600.8784641932,0.33573638592668714
Maine,155446,69510.98496527004,0.24661246182524887
Maryland,558134,250517.20790572953,0.2082283425496401
Massachusetts,965302.9999999999,440993.8564315711,0.2664319918330876
Michigan,1600707,755582.7496315218,0.3675361409723512
Minnesota,636930,298054.88531152083,0.21881949084006372
Mississippi,244508,113933.99948547094,0.21673154119300972
Missouri,561354,259994.42910653172,0.2013227036308958
Montana,103585,44108.46395317154,0.21823249620952231
Nebraska,120452,56210.84473714143,0.12220718025860076
Nevada,436798,167217.34741401015,0.31156734738325265
New Hampshire,182613,82568.28244947873,0.2737069665404813
New Jersey,1174774,537404.3980190167,0.29387857002947604
New Mexico,161888,71563.62317552623,0.19451691585528505
New York,2097570,960193.3197152799,0.22242767400659974
North Carolina,1033463,475822.6672260536,0.23047831556655204
North Dakota,70068,33151.999401188536,0.16611624913169953
Ohio,1171569,546856.6664711362,0.21549684532915947
Oklahoma,419846,195947.76058907097,0.26136558411941235
Oregon,361287,164323.93887520055,0.1851356941958666
Pennsylvania,1882608,874462.3174752004,0.31761302325958046
Puerto Rico,254682,115734.26393547781,0.2947613946004044
Rhode Island,170736,74890.8973841466,0.35143181183528654
South Carolina,495007,224570.0843574591,0.2330831870763557
South Dakota,43741,20299.016548483294,0.1004378075942779
Tennessee,506843,233784.74396898987,0.16756750621106511
Texas,2045123,943201.8364305475,0.16307102290041275
Virgin Islands,649,255.50009906852412,0.019497881971218843
Utah,153291,70565.31569688494,0.10132354071984699
Vermont,62948,28617.54186600084,0.20259949254644058
Virginia,679006,307992.1253375316,0.17385836787781236
Washington,1185188,547459.1119904873,0.3388330572750498
West Virginia,143139,66788.07584972183,0.21202929779308657
Wisconsin,548977,263898.5909771363,0.18951244586241442
Wyoming,38085,16934.19484295045,0.13699459599453723
