STATE,initialclaims_may23,PUA_claimsmay28,PUAclaims_may9
Alabama,27289,0,0
Alaska,8537,0,0
Arizona,26878,0,0
Arkansas,10464,0,0
California*,212343,94732,1148937
Colorado,15731,6635,96779
Connecticut,16584,4491,65560
Delaware*,4783,0,0
District of Columbia,5123,0,0
Florida,173731,0,0
Georgia,164350,0,0
Hawaii**,8683,0,0
Idaho,4472,925,4561
Illinois,58359,15450,159646
Indiana,26278,26484,67577
Iowa,14586,2946,16186
Kansas*,11614,0,0
Kentucky,53738,0,0
Louisiana,23853,25188,118817
Maine**,4116,0,35713
Maryland,33240,14297,170722
Massachusetts,37740,147594,1184792
Michigan,57714,196235,1642002
Minnesota,28615,883,78807
Mississippi,24348,0,0
Missouri,25917,6717,89665
Montana,3617,4812,31028
Nebraska,5875,1511,20206
Nevada,18102,37567,0
New Hampshire,6973,0,0
New Jersey,33290,89255,302590
New Mexico,7347,3139,49504
New York,192193,250130,226631
North Carolina,43221,43056,59343
North Dakota,3277,1141,8142
Ohio,42363,44158,592141
Oklahoma,32127,0,0
Oregon,27514,0,0
Pennsylvania*,69408,80053,721664
Puerto Rico,10923,0,3948
Rhode Island,2920,3995,35932
South Carolina,24950,17562,98189
South Dakota,3410,875,2892
Tennessee,26041,4043,79363
Texas,128105,40635,166633
Utah,5455,1511,10169
Vermont,1480,0,0
Virgin Islands,42,0,0
Virginia*,58591,0,193227
Washington,53280,21288,310163
West Virginia,4762,0,0
Wisconsin,28308,4458,0
Wyoming*,2298,850,1537
US Total,1914958,1192616,7793066
