statename,ic_headline
Alabama,"91,079"
Alaska,"12,752"
Arizona,"97,784"
Arkansas,"34,635"
California,"660,966"
Colorado,"105,073"
Connecticut,"33,962"
Delaware,"13,272"
"District of Columbia","9,904"
Florida,"181,293"
Georgia,"317,526"
Hawaii,"34,693"
Idaho,"17,817"
Illinois,"141,049"
Indiana,"118,184"
Iowa,"46,356"
Kansas,"30,769"
Kentucky,"115,763"
Louisiana,"80,045"
Maine,"13,273"
Maryland,"60,823"
Massachusetts,"103,040"
Michigan,"219,320"
Minnesota,"89,634"
Mississippi,"46,160"
Missouri,"95,785"
Montana,"13,437"
Nebraska,"16,391"
Nevada,"60,180"
"New Hampshire","23,936"
"New Jersey","140,600"
"New Mexico","19,494"
"New York","395,949"
"North Carolina","137,934"
"North Dakota","10,378"
Ohio,"157,218"
Oklahoma,"48,977"
Oregon,"50,930"
Pennsylvania,"238,357"
"Puerto Rico","41,829"
"Rhode Island","22,805"
"South Carolina","87,686"
"South Dakota","6,152"
Tennessee,"74,772"
Texas,"273,567"
Utah,"24,171"
Vermont,"9,478"
"U.S. Virgin Islands",3
Virginia,"106,723"
Washington,"150,516"
"West Virginia","14,595"
Wisconsin,"69,884"
Wyoming,"4,904"
